Dose,BetaBinomial_Correct,BetaPoisson_Approx,AbsDifference,PercentError
0,0.0,0.0,0.0,
1,0.42105263157894746,0.11144480736657125,0.3096078242123762,-73.53185825043933
2,0.44220139389569824,0.13482883902735732,0.3073725548683409,-69.50963047865034
3,0.45285148661368013,0.14844234177002957,0.30440914484365056,-67.22052457417166
4,0.4599228728933099,0.15803338170209924,0.30188949119121067,-65.63915582020665
5,0.46519835154636646,0.16542444259246947,0.299773908953897,-64.44001960828497
6,0.46939699059212636,0.17142859407114908,0.2979683965209773,-63.4789746191388
7,0.4728792088655164,0.17647909749116053,0.29640011137435585,-62.67987803596796
8,0.4758509962714912,0.18083406139705427,0.2950169348744369,-61.99775500861166
9,0.47844098517194167,0.18465958628147927,0.2937813988904624,-61.40389473215458
10,0.4807348126148353,0.18806881072135895,0.29266600189347636,-60.87888669880047
11,0.4827923269779263,0.19114223752307147,0.2916500894548548,-60.40901504803521
12,0.4846569783452892,0.19393916706271064,0.29071781128257856,-59.98424128238993
13,0.4863612959034689,0.19650453014550806,0.2898567657579608,-59.59700498361418
14,0.4879302571989156,0.19887317564929952,0.28905708154961607,-59.241475043794125
15,0.4893834526378663,0.2010726713471318,0.2883107812907345,-58.91306290326873
16,0.4907365272913573,0.2031251962035896,0.2876113310877677,-58.60809519830358
17,0.4920021712123491,0.20504885606405376,0.28695331514829536,-58.323587158408245
18,0.4931908177845393,0.20685862134412758,0.28633219644041175,-58.057081785634935
19,0.49431114756009054,0.20856700987638188,0.28574413768370865,-57.80653321175048
20,0.4953704591127255,0.2101845936865524,0.2851858654261731,-57.57022046429231
21,0.4963749468776122,0.21172038146813887,0.2846545654094733,-57.34668262370193
22,0.4973299126100068,0.21318211160362455,0.28414780100638226,-57.134669321449714
23,0.498239928608912,0.21457647969665505,0.2836634489122569,-56.933102432044436
24,0.4991089653205646,0.21590931741339503,0.28319964790716956,-56.74104606100951
25,0.4999404922509251,0.21718573461303803,0.28275475763788704,-56.55768276836629
26,0.5007375586111611,0.21841023344593424,0.28232732516522685,-56.38229453933635
27,0.5015028583871861,0.21958680079634696,0.28191605759083915,-56.21424741176359
28,0.5022387833056035,0.2207189838171788,0.28151979948842465,-56.0529789506767
29,0.5029474662978655,0.22180995213335208,0.2811375141645134,-55.89798796163188
30,0.5036308174354531,0.2228625494384221,0.28076826799703103,-55.74882598065302
100,0.5271574607947136,0.2593637649913215,0.2677936958033921,-50.79956478272754
1000,0.5688285362342134,0.3245183552923969,0.24431018094181645,-42.9497054699841
