Week,Sample_Date,Norovirus_copies_per_L,Campylobacter_MPN_per_100mL,Cryptosporidium_oocysts_per_L,E_coli_MPN_per_100mL,Temperature_C,Rainfall_mm,QC_Flag
1,2024-01-07,1992,5929,6.7075152239143385,386843,18.0,35.992595274197605,Pass
2,2024-01-14,1199,27833,9.41618967904557,96166,18.737329743988283,45.476105785968734,Pass
3,2024-01-21,2248,46036,22.91316281231656,18191,19.463482320650265,38.780896819613645,Pass
4,2024-01-28,4529,40844,8.20502431273961,115445,20.16744999712292,15.932658752968047,Pass
5,2024-02-04,1110,4880,8.623838045103495,22591,20.83856134101606,22.983366213208033,Pass
6,2024-02-11,1110,9218,7.066267817804573,131542,21.466642988449507,85.13632755344392,Pass
7,2024-02-18,4737,19880,2.3366943760575363,190726,22.04217386187934,6.31999425321218,Pass
8,2024-02-25,2474,43073,7.2724386446726035,26352,22.556429499928242,19.678611427115122,Pass
9,2024-03-03,920,7517,7.660966310289785,156901,23.00161431132672,48.6947378145358,Pass
10,2024-03-10,2067,10691,32.39309450404727,90470,23.370979748130374,16.6083286890702,Pass
11,2024-03-17,924,3541,6.583611277344818,136224,23.658926606827663,39.37514991250463,Pass
12,2024-03-24,922,3179,8.85452303088064,399030,23.861089906557602,27.41779580352889,Pass
13,2024-03-31,1625,35419,7.236755265391657,46845,23.974405057770205,17.378606849467214,Pass
14,2024-04-07,289,68015,3.6648711485237135,28177,23.997154318280195,5.383171544858161,Pass
15,2024-04-14,336,12253,14.668373136663009,24599,23.928992832487555,29.828807090664043,Pass
16,2024-04-21,854,44544,11.601794908248916,26481,23.770953859036915,15.70559024724738,Pass
17,2024-04-28,595,20618,11.877183043008824,55431,23.52543310766972,24.83656735142912,Pass
18,2024-05-05,1722,6160,4.281774502781897,84216,23.196152422706632,35.792322326291554,Pass
19,2024-05-12,647,20612,17.14448566880381,78959,22.788103363681437,43.45000603831474,Pass
20,2024-05-19,432,84596,3.186392382726599,136924,22.30747153838665,19.638453694745458,Pass
21,2024-05-26,4326,12797,10.507762358559983,60657,21.76154283536464,17.357393732268434,Pass
22,2024-06-02,1118,87340,27.502402802336064,256153,21.158592977264135,10.921295704685793,Pass
23,2024-06-09,1413,576,4.078291721066985,45951,20.5077620693207,44.638906251537676,Pass
24,2024-06-16,428,35820,5.260475186133421,909062,19.81891604467826,78.50077911558893,Pass
25,2024-06-23,866,14830,7.844328754564918,111934,19.10249710689942,47.329654814163334,Pass
26,2024-06-30,1463,9331,5.462543957507439,25408,18.36936543680366,53.16665307619399,Pass
27,2024-07-07,533,14914,2.914219238920375,20519,17.630634563196345,16.69941380758019,Pass
28,2024-07-14,1809,1230,7.699364437615916,97000,16.89750289310058,34.590620824924855,Pass
29,2024-07-21,828,10263,3.906406008044006,47884,16.18108395532174,41.42200536245231,Pass
30,2024-07-28,1060,20507,9.817391526168809,122271,15.4922379306793,1.0331877015403885,Pass
31,2024-08-04,827,78705,4.256066851306144,96108,14.841407022735867,13.192580400575844,Pass
32,2024-08-11,5894,7172,18.72689344802064,55668,14.238457164635363,63.192986136567825,Pass
33,2024-08-18,1325,5063,4.618398613712034,25673,13.69252846161335,9.466816617273537,Pass
34,2024-08-25,574,7316,6.090700442376327,13162,13.211896636318563,57.805822904378815,Pass
35,2024-09-01,2586,40073,12.03850581483834,38310,12.803847577293368,9.420056080430799,Pass
36,2024-09-08,504,19821,3.5306479528168584,140983,12.474566892330278,13.635440895964933,Pass
37,2024-09-15,1583,7074,8.469537991875319,74168,12.229046140963085,34.946964027476604,Pass
38,2024-09-22,279,24733,16.18824971082386,17227,12.071007167512445,27.822848180938937,Pass
39,2024-09-29,462,15010,2.8165424728885378,71195,12.002845681719805,20.856435911208997,Pass
40,2024-10-06,1567,42717,8.25468002380543,88019,12.025594942229793,61.8558911281087,Pass
41,2024-10-13,2418,5753,8.635915055827876,24739,12.138910093442396,11.130365217419476,Pass
42,2024-10-20,1536,9016,11.8117372944112,69823,12.341073393172334,24.26402904029934,Pass
43,2024-10-27,1221,8345,3.517778116738563,63462,12.629020251869624,37.473753669168275,Pass
44,2024-11-03,1052,2307,3.3458676000103265,19092,12.998385688673283,31.523464664250483,Pass
45,2024-11-10,410,19059,10.106360108465006,85629,13.443570500071756,17.73577869994087,Pass
46,2024-11-17,753,18274,8.830316025386436,104902,13.957826138120657,18.153785936685864,Pass
47,2024-11-24,926,13441,8.587397402822546,176848,14.533357011550493,43.08578075294178,Pass
48,2024-12-01,3120,10081,9.096310808807573,171751,15.161438658983936,44.219791035750866,Pass
49,2024-12-08,1763,2444,4.913493358095177,15098,15.832550002877081,32.0062051722224,Pass
50,2024-12-15,326,8064,8.4939336315878,23439,16.536517679349735,15.290797166970087,Pass
51,2024-12-22,1735,8855,8.809612756425068,100211,17.262670256011717,18.525088752128156,Pass
52,2024-12-29,984,5101,4.8133299851201885,100086,18.0,26.32679925089983,Pass
