Site_Name,Distance_m,Dilution_Factor_Median,Dilution_Factor_Min,Dilution_Factor_Max,Dilution_Method,Pathogen_Method,Effluent_Conc_Input,Infection_Risk_Median,Infection_Risk_5th,Infection_Risk_95th,Illness_Risk_Median,Annual_Risk_Median,Annual_Risk_5th,Annual_Risk_95th,Population_Impact,Compliance_Status,Scenario_ID,Scenario_Name
Discharge,0,1.15,0.82,1.45,ECDF,Hockey_Stick,1026,0.015468982751598026,0.006559375529341188,0.027184420554351885,0.010828287926118618,0.3227717375746716,0.1517030853627973,0.4979315535541293,4841.576063620074,NON-COMPLIANT,S001,Summer_Beach_Main
Site_50m,50,6.83,4.13,13.53,ECDF,Hockey_Stick,1026,0.002921746336841502,0.001036795923696071,0.006459607325814826,0.0020452224357890513,0.07053913338100914,0.02559996315107882,0.1495707201014359,1058.0870007151373,NON-COMPLIANT,S001,Summer_Beach_Main
Site_100m,100,13.8,7.2,25.86,ECDF,Hockey_Stick,1026,0.001554741958439576,0.0005418699371596281,0.0037876548523434195,0.0010883193709077031,0.03815195252230863,0.013459026374848526,0.09050988940851756,572.2792878346295,NON-COMPLIANT,S001,Summer_Beach_Main
Site_250m,250,39.275,31.73,81.45,ECDF,Hockey_Stick,1026,0.000499358794531557,0.0001748451250645766,0.0010614020346384756,0.00034955115617208983,0.01240944771199426,0.004361969163338197,0.02619981281947792,186.1417156799139,NON-COMPLIANT,S001,Summer_Beach_Main
Discharge,0,1.15,0.82,1.45,ECDF,Hockey_Stick,2000,0.018237919580913642,0.008828926265082887,0.030645955949530013,0.012766543706639549,0.13692203048508078,0.06848692948504642,0.22042229229474886,273.84406097016154,NON-COMPLIANT,S002,Winter_Beach_Main
Site_50m,50,6.83,4.13,13.53,ECDF,Hockey_Stick,2000,0.0035789782616817978,0.0014099764327528685,0.007562491312515018,0.0025052847831772583,0.028275727482598323,0.011224303219034337,0.05892256770238291,56.55145496519665,NON-COMPLIANT,S002,Winter_Beach_Main
Site_100m,100,13.8,7.2,25.86,ECDF,Hockey_Stick,2000,0.0019105400451610022,0.0007397054711679729,0.004444124855051773,0.0013373780316127013,0.015182505390510026,0.005902345816703902,0.035004880015101714,30.365010781020054,NON-COMPLIANT,S002,Winter_Beach_Main
Site_250m,250,39.275,31.73,81.45,ECDF,Hockey_Stick,2000,0.000617360498685382,0.00023744315276985617,0.00125386674964037,0.00043215234907976736,0.0049282254043664375,0.0018979673525786334,0.009987023126314276,9.856450808732875,NON-COMPLIANT,S002,Winter_Beach_Main
Discharge,0,1.15,0.82,1.45,ECDF,Hockey_Stick,500,0.012473950891401464,0.005231770959979759,0.02247432639106861,0.008731765623981024,0.13983310492984058,0.061005873775314745,0.23873113211904784,699.1655246492029,NON-COMPLIANT,S003,Shellfish_Area
Site_50m,50,6.83,4.13,13.53,ECDF,Hockey_Stick,500,0.002281734454412654,0.0008151462889682548,0.0050793970924320475,0.0015972141180888577,0.02703979695732428,0.009738019819861665,0.05927845109912411,135.1989847866214,NON-COMPLIANT,S003,Shellfish_Area
Site_100m,100,13.8,7.2,25.86,ECDF,Hockey_Stick,500,0.0012098940224791743,0.0004244614961422255,0.002951939885057292,0.000846925815735422,0.014422503178106338,0.005081663702898864,0.034853779643053695,72.1125158905317,NON-COMPLIANT,S003,Shellfish_Area
Site_250m,250,39.275,31.73,81.45,ECDF,Hockey_Stick,500,0.0003874977555800574,0.0001370701701221,0.0008213169810473153,0.00027124842890604016,0.0046400756587061665,0.001643602584576409,0.009811404369475363,23.200378293530832,NON-COMPLIANT,S003,Shellfish_Area
