cumProb,Site_aa_ill,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8
0,3429.92,2310.51,852.54,327.89,1576.74,2584.52,3240.92,3661.23
0.1,6544.25,4413.2,2508.62,474.37,2407.89,3541.94,5120,5923.2
0.15,8663.87,5507.56,2973.79,532.88,2632.72,3881.15,5666.05,6600.75
0.2,11538.03,6914.12,3422.25,574.45,2822.22,4251.64,6310.21,7310.79
0.25,16501.87,8864.77,3922.63,620.97,2983.75,4535.36,6862.41,8034.19
0.3,24208.55,11628.69,4515.28,674.78,3152.93,4867.4,7399.23,8805.22
0.35,35980.55,15342.88,5291.56,743.52,3357.13,5273.01,8318.26,10126.98
0.4,53034.91,21092.05,6461.3,840.13,3598.05,5832.83,9750.31,12104.27
0.45,68470.45,24932.17,7208.83,911.33,3749.51,6203.54,10594.73,13088.5
0.5,88221.54,30270.7,8177.4,1017.41,3950.16,6605.5,11299.31,14007.69
0.55,119156.36,39547.59,9823.38,1197.22,4238.58,7287.56,12707.81,15657.06
0.6,169908.15,57704.65,12743.11,1442.84,4623.12,8151.25,14380.94,18132.49
0.65,179902.75,65071.21,13673.68,1490.42,4751.44,8368.41,14894.55,18762.86
0.7,195213.62,72817.78,14770.35,1551.32,4901.2,8680.26,15603.81,19194.64
0.75,223781.46,83409.45,16414.19,1621.89,5046.78,9012.81,16239.01,20164.92
0.8,262144,99728.7,18657.57,1688.21,5221.99,9352.74,16959.41,20664.5
0.85,305834.67,116139.75,22026.29,1755.8,5403.44,9897.56,17644.31,21437.01
0.9,436906.67,145635.56,27719.15,1877.69,5730.82,10619.26,19507.27,25840.83
0.91,705772.31,241448.42,35980.55,2085.17,6157.74,11411.74,23761.55,30996.76
0.92,1529173.33,509724.44,61993.51,2402.09,6591.26,12674.11,26214.4,33485.55
0.93,4587520,1529173.33,223781.46,2775.51,7277.68,15424.53,32569.18,57738.47
0.94,9175040,4587520,509724.44,3637.78,7793.2,21741.8,96991.89,269314.41
0.95,9175040,9175040,3058346.67,6068.06,12298.29,32998.79,573440,4566111.57
0.96,9175040,9175040,4587520,10731.04,13277.92,74593.82,2293760,9175040
0.97,6568557846,6059461455,1447674480,636662100.8,1412520186,540922959.5,217870425.5,2479228666
0.98,8155650660,7784533060,1911506849,875292018.3,1855195735,947039899.3,1496690914,35000000000
0.99,9592537883,13000000000,2673205372,1106184323,2928556465,4198644424,47000000000,1.30E+12
0.995,15000000000,26000000000,3549813812,1175369048,18000000000,35000000000,3.20E+11,8.50E+12
0.999,1.40E+11,88000000000,10000000000,1204835451,5.20E+11,4.90E+11,2.10E+12,2.30E+13
1,4.70E+11,1.90E+11,15000000000,1204835451,7.50E+11,1.60E+12,3.70E+13,7.80E+15
