Scenario_ID,Scenario_Name,Pathogen_ID,Pathogen,Location,Dilution_Median,Dilution_Min,Dilution_Max,Dilution_Records,Pathogen_Conc_Median,Exposure_Route,Treatment_LRV,Volume_mL,Frequency_Year,Population,Infection_Risk_Median,Annual_Risk_Median,Annual_Risk_5th,Annual_Risk_95th,Population_Impact,Compliance_Status,Priority
S001,Site_A_Norovirus_Summer,PATH001,norovirus,Site_A,115.0,95,130,7,1000000,primary_contact,3.0,50,25,15000,0.39094001468181394,0.9999958647507433,0.9999853834862626,0.9999983881271535,14999,NON-COMPLIANT,High
S002,Site_B_Norovirus_Summer,PATH001,norovirus,Site_B,90.0,75,110,7,1000000,primary_contact,3.0,50,25,8000,0.4018614636239543,0.9999973694619265,0.9999915849621684,0.9999988894355073,7999,NON-COMPLIANT,High
S003,Site_C_Norovirus_Summer,PATH001,norovirus,Site_C,200.0,180,220,7,1000000,primary_contact,3.0,50,25,10000,0.358625030630904,0.999984940859922,0.9999289218000011,0.9999952678909638,9999,NON-COMPLIANT,Medium
S004,Site_A_Norovirus_Winter,PATH002,norovirus,Site_A,115.0,95,130,7,1500000,primary_contact,3.0,30,8,2000,0.3885005323963977,0.9804490139398389,0.9694929198152945,0.9857590068422395,1960,NON-COMPLIANT,Medium
S005,Site_A_Norovirus_High_LRV,PATH001,norovirus,Site_A,115.0,95,130,7,1000000,primary_contact,3.5,50,25,15000,0.3141738103287765,0.9999195823018402,0.9994777099450346,0.9999826778343864,14998,NON-COMPLIANT,Medium
S006,Site_A_Norovirus_Low_LRV,PATH002,norovirus,Site_A,115.0,95,130,7,1500000,primary_contact,2.5,50,25,15000,0.44562988817665883,0.999999606454279,0.9999992177536927,0.9999997822840024,14999,NON-COMPLIANT,Low
S007,Site_A_Norovirus_High_Load,PATH005,norovirus,Site_A,115.0,95,130,7,2000000,primary_contact,3.5,50,25,15000,0.365719533352769,0.9999885966244867,0.9999472394044796,0.9999963972050429,14999,NON-COMPLIANT,Low
S008,Shellfish_Site_C,PATH001,norovirus,Site_C,200.0,180,220,7,1000000,shellfish_consumption,3.0,100,24,5000,0.39898768703962995,0.9999950659804268,0.9999866249890076,0.9999977044662396,4999,NON-COMPLIANT,High
S009,Site_A_No_Treatment,PATH005,norovirus,Site_A,115.0,95,130,7,2000000,primary_contact,0.0,50,20,5000,0.5706613078804249,0.9999999547101815,0.9999999182129019,0.999999972374339,4999,NON-COMPLIANT,High
S010,Site_A_UV_Treatment,PATH001,norovirus,Site_A,115.0,95,130,7,1000000,primary_contact,8.0,50,25,15000,3.6805199087108775e-05,0.0009197237050220242,0.0005268564574514301,0.0015594383021517721,13,NON-COMPLIANT,High
S011,Site_A_MBR_Treatment,PATH001,norovirus,Site_A,115.0,95,130,7,1000000,primary_contact,9.3,50,25,15000,1.8619665125285678e-06,4.6548122752287924e-05,2.8272168531962016e-05,7.511962679096484e-05,0,COMPLIANT,High
S012,Site_B_Poor_Dilution,PATH001,norovirus,Site_B,90.0,75,110,7,1000000,primary_contact,3.0,50,25,12000,0.40154277199782085,0.9999973341978375,0.9999896493964427,0.9999989499237221,11999,NON-COMPLIANT,High
S013,Site_C_Excellent_Dilution,PATH001,norovirus,Site_C,200.0,180,220,7,1000000,primary_contact,3.0,50,25,12000,0.3563090879592819,0.9999835208639408,0.9999377183609351,0.9999941945662512,11999,NON-COMPLIANT,Low
S014,Peak_Weekend_Site_A,PATH002,norovirus,Site_A,115.0,95,130,7,1500000,primary_contact,3.0,75,40,20000,0.42439402174936297,0.9999999997458958,0.9999999988930404,0.9999999999192075,19999,NON-COMPLIANT,High
S015,Sensitivity_Analysis_Site_A,PATH005,norovirus,Site_A,115.0,95,130,7,2000000,primary_contact,3.0,50,25,15000,0.41943006377485015,0.9999987515717921,0.9999968200336979,0.9999994005651852,14999,NON-COMPLIANT,Medium
