Simulation_ID,Site_Name,Distance_m,Dilution_Factor,Tidal_State,Wind_Speed_ms,Current_Speed_ms,Model_Type,Confidence
1,Discharge,0,0.818371777,High,5.799080363,0.342293725,ROMS_Hydrodynamic,High
2,Discharge,0,0.865871242,Low,6.422649982,0.516772097,ROMS_Hydrodynamic,High
3,Discharge,0,1.141247982,Low,4.565893263,0.204661527,ROMS_Hydrodynamic,Medium
4,Discharge,0,1.074228565,High,22.02296525,0.775754681,ROMS_Hydrodynamic,High
5,Discharge,0,1.405861501,Mid,6.873596078,0.193307432,ROMS_Hydrodynamic,High
6,Discharge,0,0.920982477,High,7.052616555,1.158794539,ROMS_Hydrodynamic,High
7,Discharge,0,1.156072374,High,9.828907016,0.888501512,ROMS_Hydrodynamic,High
8,Discharge,0,1.434030865,Mid,30.4425418,2.221443489,ROMS_Hydrodynamic,High
9,Discharge,0,1.453572935,Low,7.617885018,0.790247698,ROMS_Hydrodynamic,Medium
10,Discharge,0,1.351595135,Mid,7.673881594,0.532200451,ROMS_Hydrodynamic,High
11,Discharge,0,0.960154612,High,20.58046915,0.737085579,ROMS_Hydrodynamic,High
12,Discharge,0,0.999615791,Mid,9.28411433,1.668515737,ROMS_Hydrodynamic,High
13,Discharge,0,1.06080052,Mid,7.270204307,0.260511949,ROMS_Hydrodynamic,High
14,Discharge,0,0.93140613,High,4.486635472,0.229865138,ROMS_Hydrodynamic,Medium
15,Discharge,0,1.179833764,Mid,6.678670652,0.7354728,ROMS_Hydrodynamic,High
16,Discharge,0,1.10216187,Mid,8.649098117,1.045136061,ROMS_Hydrodynamic,High
17,Discharge,0,2.807770404,Mid,12.03915742,0.559233878,ROMS_Hydrodynamic,High
18,Discharge,0,0.638550556,Low,5.061578513,0.293804637,ROMS_Hydrodynamic,High
19,Discharge,0,0.930931506,Low,14.52530736,0.283779865,ROMS_Hydrodynamic,Medium
20,Discharge,0,0.782736408,High,11.60848521,0.331864602,ROMS_Hydrodynamic,High
21,Discharge,0,0.844023436,Mid,3.406209392,0.562469942,ROMS_Hydrodynamic,High
22,Discharge,0,0.635913409,Low,12.71020017,2.270552265,ROMS_Hydrodynamic,Medium
23,Discharge,0,0.992829893,High,3.190170195,0.343240869,ROMS_Hydrodynamic,High
24,Discharge,0,1.937103966,Mid,5.363372414,0.45728195,ROMS_Hydrodynamic,Medium
25,Discharge,0,1.549959023,High,4.210539837,0.62462659,ROMS_Hydrodynamic,High
26,Discharge,0,0.952816834,Mid,2.148019999,1.177256744,ROMS_Hydrodynamic,High
27,Discharge,0,1.031611968,High,8.372722077,1.133322261,ROMS_Hydrodynamic,Medium
28,Discharge,0,1.188651277,Mid,2.053743265,1.559834654,ROMS_Hydrodynamic,High
29,Discharge,0,1.22800534,Low,4.048318836,0.756109649,ROMS_Hydrodynamic,High
30,Discharge,0,1.425765964,Mid,5.554298203,0.687727993,ROMS_Hydrodynamic,High
31,Discharge,0,0.579399213,High,1.685619269,1.744984875,ROMS_Hydrodynamic,High
32,Discharge,0,0.863013612,High,16.45810463,0.944797485,ROMS_Hydrodynamic,High
33,Discharge,0,1.087723828,Mid,6.39849494,0.838087664,ROMS_Hydrodynamic,High
34,Discharge,0,0.984567667,Low,15.24857851,0.611999501,ROMS_Hydrodynamic,Medium
35,Discharge,0,0.620063021,High,18.24309418,0.081719166,ROMS_Hydrodynamic,High
36,Discharge,0,1.159079305,Low,6.108502549,0.510528207,ROMS_Hydrodynamic,High
37,Discharge,0,1.75193006,Mid,4.119651834,0.856968151,ROMS_Hydrodynamic,Medium
38,Discharge,0,1.068723055,Low,4.417286792,0.482275567,ROMS_Hydrodynamic,High
39,Discharge,0,1.527185144,Mid,8.984075073,1.168087588,ROMS_Hydrodynamic,High
40,Discharge,0,1.151984247,Low,11.43705427,0.858781509,ROMS_Hydrodynamic,High
41,Discharge,0,0.685513501,Mid,10.99817883,0.670457024,ROMS_Hydrodynamic,High
42,Discharge,0,1.002410456,High,7.473266753,1.0647568,ROMS_Hydrodynamic,High
43,Discharge,0,1.080726125,Low,10.47123973,0.385196875,ROMS_Hydrodynamic,High
44,Discharge,0,1.392546692,Mid,3.734282645,0.174898103,ROMS_Hydrodynamic,Medium
45,Discharge,0,1.273786726,Low,16.84812009,0.788047722,ROMS_Hydrodynamic,High
46,Discharge,0,1.4547392,Low,4.157099025,0.61591402,ROMS_Hydrodynamic,Medium
47,Discharge,0,1.184494693,Low,16.09967477,1.292197171,ROMS_Hydrodynamic,High
48,Discharge,0,0.824562814,Low,8.921597896,0.268703695,ROMS_Hydrodynamic,High
49,Discharge,0,0.787156264,Low,2.754508675,1.042813818,ROMS_Hydrodynamic,High
50,Discharge,0,1.192528299,Mid,4.827193162,0.317823221,ROMS_Hydrodynamic,High
51,Discharge,0,1.107415053,Mid,24.66539888,0.948542574,ROMS_Hydrodynamic,High
52,Discharge,0,1.651666824,Mid,8.102052257,1.237731025,ROMS_Hydrodynamic,High
53,Discharge,0,0.921039336,Mid,6.545071625,0.585344689,ROMS_Hydrodynamic,Medium
54,Discharge,0,0.747191205,High,7.897559422,1.354300934,ROMS_Hydrodynamic,High
55,Discharge,0,0.652820468,Mid,10.21742658,0.306430056,ROMS_Hydrodynamic,High
56,Discharge,0,1.781625587,High,4.71405842,0.852082767,ROMS_Hydrodynamic,High
57,Discharge,0,1.195958708,Mid,13.91864563,0.510111105,ROMS_Hydrodynamic,High
58,Discharge,0,1.451496885,High,2.978997395,0.122384996,ROMS_Hydrodynamic,High
59,Discharge,0,0.997877491,Low,6.583275384,0.311773643,ROMS_Hydrodynamic,High
60,Discharge,0,1.186136731,Low,9.760571198,0.32375264,ROMS_Hydrodynamic,High
61,Discharge,0,1.319270727,High,13.3321197,0.323380356,ROMS_Hydrodynamic,High
62,Discharge,0,0.960228588,High,9.034065647,2.227228432,ROMS_Hydrodynamic,High
63,Discharge,0,0.736433777,Low,4.354728915,0.307712786,ROMS_Hydrodynamic,High
64,Discharge,0,0.766854973,Mid,4.629028596,0.94305366,ROMS_Hydrodynamic,High
65,Discharge,0,1.289621019,High,10.29681933,0.347568098,ROMS_Hydrodynamic,High
66,Discharge,0,1.052796905,High,4.367117854,0.203014274,ROMS_Hydrodynamic,High
67,Discharge,0,0.675159234,High,5.974500194,0.04506741,ROMS_Hydrodynamic,Medium
68,Discharge,0,0.929090989,Mid,8.22988376,1.606471456,ROMS_Hydrodynamic,High
69,Discharge,0,1.57214659,Low,3.751343685,0.190793503,ROMS_Hydrodynamic,High
70,Discharge,0,1.565118446,High,11.6971589,0.29896458,ROMS_Hydrodynamic,High
71,Discharge,0,0.86650494,Mid,1.551631719,0.452094741,ROMS_Hydrodynamic,High
72,Discharge,0,0.832038842,High,2.32177719,0.315150122,ROMS_Hydrodynamic,High
73,Discharge,0,1.022407841,High,5.090188408,0.906822615,ROMS_Hydrodynamic,Medium
74,Discharge,0,1.260723049,High,6.562682591,0.128380744,ROMS_Hydrodynamic,High
75,Discharge,0,0.866878559,Low,5.388945789,0.612665967,ROMS_Hydrodynamic,Medium
76,Discharge,0,0.724657582,High,8.153903756,0.285056386,ROMS_Hydrodynamic,High
77,Discharge,0,1.99585723,High,13.00630587,0.222004406,ROMS_Hydrodynamic,High
78,Discharge,0,0.777243978,High,9.956493816,0.362344775,ROMS_Hydrodynamic,High
79,Discharge,0,1.255348943,Mid,9.426880811,0.50962429,ROMS_Hydrodynamic,High
80,Discharge,0,1.205060632,Mid,10.98412182,0.612741407,ROMS_Hydrodynamic,High
81,Discharge,0,1.259043989,Low,4.288498134,1.401873841,ROMS_Hydrodynamic,High
82,Discharge,0,0.788081834,High,8.17259601,0.752241857,ROMS_Hydrodynamic,High
83,Discharge,0,1.482376357,Mid,3.382520963,0.775892614,ROMS_Hydrodynamic,High
84,Discharge,0,0.644759484,High,5.157028858,0.619194226,ROMS_Hydrodynamic,High
85,Discharge,0,0.662984759,Low,8.908749254,0.451834913,ROMS_Hydrodynamic,High
86,Discharge,0,1.051594902,Mid,16.43577617,1.372226576,ROMS_Hydrodynamic,High
87,Discharge,0,1.231807448,Mid,6.354394323,0.181176816,ROMS_Hydrodynamic,High
88,Discharge,0,0.828484647,Low,7.78531151,0.702171441,ROMS_Hydrodynamic,Medium
89,Discharge,0,0.560786327,Low,8.681320976,0.570203886,ROMS_Hydrodynamic,High
90,Discharge,0,0.649218459,High,7.681769938,0.809172947,ROMS_Hydrodynamic,High
91,Discharge,0,0.816100886,Low,9.277583318,0.412877675,ROMS_Hydrodynamic,High
92,Discharge,0,0.731874896,Mid,11.54635435,0.512701278,ROMS_Hydrodynamic,High
93,Discharge,0,1.2423527,High,15.7887248,1.546856853,ROMS_Hydrodynamic,Medium
94,Discharge,0,1.177340282,High,5.997789775,0.143050331,ROMS_Hydrodynamic,High
95,Discharge,0,1.26938199,Mid,4.582829904,0.778909941,ROMS_Hydrodynamic,High
96,Discharge,0,0.748491889,Low,14.15208111,0.243755783,ROMS_Hydrodynamic,Medium
97,Discharge,0,1.406180463,High,9.796469408,0.293260702,ROMS_Hydrodynamic,High
98,Discharge,0,1.034423432,High,21.43149682,0.613861428,ROMS_Hydrodynamic,High
99,Discharge,0,0.841797429,High,4.85322156,0.454152909,ROMS_Hydrodynamic,High
100,Discharge,0,1.385483414,High,11.87451143,0.189257411,ROMS_Hydrodynamic,High
101,Site_50m,50,4.127680408,Low,3.600811483,0.959931882,ROMS_Hydrodynamic,High
102,Site_50m,50,7.008340064,Low,13.10975939,2.79227474,ROMS_Hydrodynamic,High
103,Site_50m,50,6.353700909,Low,5.963174199,0.446689453,ROMS_Hydrodynamic,High
104,Site_50m,50,11.69580479,Low,4.563812411,0.58022755,ROMS_Hydrodynamic,High
105,Site_50m,50,5.747001133,Low,12.81892941,0.580470667,ROMS_Hydrodynamic,Medium
106,Site_50m,50,9.350753715,High,10.95515467,0.221066931,ROMS_Hydrodynamic,High
107,Site_50m,50,6.65295109,Mid,8.982655606,0.755944084,ROMS_Hydrodynamic,Medium
108,Site_50m,50,5.366124558,High,8.642203169,0.119891008,ROMS_Hydrodynamic,High
109,Site_50m,50,13.53169697,Mid,19.43602387,0.147791788,ROMS_Hydrodynamic,Medium
110,Site_50m,50,7.301856887,High,8.72992025,0.226504092,ROMS_Hydrodynamic,High
111,Site_50m,50,6.062791252,Low,18.32022537,0.623810623,ROMS_Hydrodynamic,High
112,Site_50m,50,6.404122482,Mid,5.237858007,1.092726034,ROMS_Hydrodynamic,High
113,Site_50m,50,6.687672582,High,13.18809128,0.208404012,ROMS_Hydrodynamic,Medium
114,Site_50m,50,6.512141415,Low,5.270964427,1.802368676,ROMS_Hydrodynamic,High
115,Site_50m,50,5.475567619,Mid,3.897288234,1.923454109,ROMS_Hydrodynamic,High
116,Site_50m,50,7.73524094,Low,6.025614304,0.850241622,ROMS_Hydrodynamic,High
117,Site_50m,50,4.807344179,Low,7.270768084,0.90714383,ROMS_Hydrodynamic,High
118,Site_50m,50,8.404513427,High,14.33936701,0.460596168,ROMS_Hydrodynamic,Medium
119,Site_50m,50,7.267327109,Mid,5.966033992,0.719675425,ROMS_Hydrodynamic,Medium
120,Site_50m,50,9.248859597,High,13.6847267,0.113364579,ROMS_Hydrodynamic,High
121,Site_50m,50,8.630077774,Mid,9.696769753,0.996690222,ROMS_Hydrodynamic,High
122,Site_50m,50,6.058131074,Mid,3.793483698,0.060283869,ROMS_Hydrodynamic,High
123,Site_50m,50,6.29226433,Mid,8.7972568,0.492729242,ROMS_Hydrodynamic,High
124,Site_50m,50,8.718705462,Low,8.678761107,1.310581153,ROMS_Hydrodynamic,High
125,Site_50m,50,8.058749316,Low,9.031856913,0.798375166,ROMS_Hydrodynamic,High
126,Site_50m,50,7.197007026,High,8.465776797,3.490481062,ROMS_Hydrodynamic,High
127,Site_50m,50,5.495917613,Low,10.87886855,1.420849439,ROMS_Hydrodynamic,High
128,Site_50m,50,8.161564333,Mid,2.02927226,0.323684517,ROMS_Hydrodynamic,High
129,Site_50m,50,6.034930624,Low,3.166949902,2.731892517,ROMS_Hydrodynamic,High
130,Site_50m,50,5.474766752,High,2.833536682,0.93442534,ROMS_Hydrodynamic,High
131,Site_50m,50,10.73016929,High,7.380734868,0.858235068,ROMS_Hydrodynamic,High
132,Site_50m,50,7.369833848,Low,9.176091273,1.850369733,ROMS_Hydrodynamic,High
133,Site_50m,50,4.666739143,Low,4.629563168,0.637598582,ROMS_Hydrodynamic,High
134,Site_50m,50,5.242424417,Low,5.625330621,1.343158304,ROMS_Hydrodynamic,Medium
135,Site_50m,50,7.439249447,Mid,10.13698575,0.158771142,ROMS_Hydrodynamic,High
136,Site_50m,50,8.106313331,High,11.81909192,1.425742325,ROMS_Hydrodynamic,Medium
137,Site_50m,50,7.904475944,Low,3.136145878,0.367091044,ROMS_Hydrodynamic,High
138,Site_50m,50,14.14788486,Low,2.181906969,1.046044245,ROMS_Hydrodynamic,High
139,Site_50m,50,6.690188517,Mid,2.951319718,0.406435804,ROMS_Hydrodynamic,Medium
140,Site_50m,50,6.25724671,Mid,4.134628171,0.644219119,ROMS_Hydrodynamic,High
141,Site_50m,50,6.819563894,Mid,3.081168688,0.669129937,ROMS_Hydrodynamic,High
142,Site_50m,50,7.741912793,High,3.992978572,0.911043774,ROMS_Hydrodynamic,High
143,Site_50m,50,5.96469517,Mid,7.744991148,0.491001207,ROMS_Hydrodynamic,High
144,Site_50m,50,9.534279624,Mid,3.558359218,1.057063013,ROMS_Hydrodynamic,High
145,Site_50m,50,5.298342629,Low,10.51686157,0.173436956,ROMS_Hydrodynamic,High
146,Site_50m,50,7.700600752,Low,4.011842629,0.305647054,ROMS_Hydrodynamic,High
147,Site_50m,50,10.81672053,High,3.239364885,0.801775058,ROMS_Hydrodynamic,High
148,Site_50m,50,4.519012639,Mid,9.788935364,0.867104871,ROMS_Hydrodynamic,High
149,Site_50m,50,9.108390129,Low,17.38342559,0.411631038,ROMS_Hydrodynamic,Medium
150,Site_50m,50,5.830043716,High,9.686976069,0.310140431,ROMS_Hydrodynamic,Medium
151,Site_50m,50,4.90366941,Mid,10.02168522,0.715049536,ROMS_Hydrodynamic,High
152,Site_50m,50,4.997378684,Mid,15.86730264,0.400301862,ROMS_Hydrodynamic,High
153,Site_50m,50,7.376717815,Low,6.260119009,0.889724054,ROMS_Hydrodynamic,High
154,Site_50m,50,7.68955666,High,8.932574105,1.071949657,ROMS_Hydrodynamic,High
155,Site_50m,50,7.432335141,Mid,8.499129074,2.710672081,ROMS_Hydrodynamic,Medium
156,Site_50m,50,6.6683839,High,14.15341943,0.542518439,ROMS_Hydrodynamic,High
157,Site_50m,50,6.942404291,High,14.5352115,0.654739807,ROMS_Hydrodynamic,High
158,Site_50m,50,5.428365161,Low,15.73316938,1.287920948,ROMS_Hydrodynamic,High
159,Site_50m,50,8.499261291,High,2.09139876,0.287827009,ROMS_Hydrodynamic,High
160,Site_50m,50,10.47471121,Mid,5.024994775,1.059720593,ROMS_Hydrodynamic,Medium
161,Site_50m,50,11.61406779,Mid,6.188607164,0.626799875,ROMS_Hydrodynamic,High
162,Site_50m,50,5.750941044,Low,6.430545052,1.565624749,ROMS_Hydrodynamic,High
163,Site_50m,50,6.536201185,High,6.765055049,0.890778123,ROMS_Hydrodynamic,High
