Sample_ID,Sample_Date,Norovirus_copies_per_L,Sample_Volume_L,Laboratory,QC_Flag
MP001,6/2/2024,512000,3,NIWA Christchurch,Pass
MP002,6/9/2024,2204000,3,NIWA Christchurch,Pass
MP003,6/16/2024,1336000,3,NIWA Christchurch,Pass
MP004,6/23/2024,382000,3,NIWA Christchurch,Pass
MP005,6/30/2024,731000,3,NIWA Christchurch,Pass
MP006,7/7/2024,3484000,3,NIWA Christchurch,Pass
MP007,7/14/2024,200000,3,NIWA Christchurch,Pass
MP008,7/21/2024,812000,3,NIWA Christchurch,Pass
MP009,7/28/2024,2660000,3,NIWA Christchurch,Pass
MP010,8/4/2024,597000,3,NIWA Christchurch,Pass
MP011,8/11/2024,681000,3,NIWA Christchurch,Pass
MP012,8/18/2024,1026000,3,NIWA Christchurch,Pass
