Week,Sample_Date,Norovirus_copies_per_L,Campylobacter_MPN_per_100mL,Cryptosporidium_oocysts_per_L,E_coli_MPN_per_100mL,Temperature_C,Rainfall_mm,QC_Flag
1,1/7/2024,1992,5929,6.707515224,386843,18,35.99259527,Pass
2,1/14/2024,1199,27833,9.416189679,96166,18.73732974,45.47610579,Pass
3,1/21/2024,2248,46036,22.91316281,18191,19.46348232,38.78089682,Pass
4,1/28/2024,4529,40844,8.205024313,115445,20.16745,15.93265875,Pass
5,2/4/2024,1110,4880,8.623838045,22591,20.83856134,22.98336621,Pass
6,2/11/2024,1110,9218,7.066267818,131542,21.46664299,85.13632755,Pass
7,2/18/2024,4737,19880,2.336694376,190726,22.04217386,6.319994253,Pass
8,2/25/2024,2474,43073,7.272438645,26352,22.5564295,19.67861143,Pass
9,3/3/2024,920,7517,7.66096631,156901,23.00161431,48.69473781,Pass
10,3/10/2024,2067,10691,32.3930945,90470,23.37097975,16.60832869,Pass
11,3/17/2024,924,3541,6.583611277,136224,23.65892661,39.37514991,Pass
12,3/24/2024,922,3179,8.854523031,399030,23.86108991,27.4177958,Pass
13,3/31/2024,1625,35419,7.236755265,46845,23.97440506,17.37860685,Pass
14,4/7/2024,289,68015,3.664871149,28177,23.99715432,5.383171545,Pass
15,4/14/2024,336,12253,14.66837314,24599,23.92899283,29.82880709,Pass
16,4/21/2024,854,44544,11.60179491,26481,23.77095386,15.70559025,Pass
17,4/28/2024,595,20618,11.87718304,55431,23.52543311,24.83656735,Pass
18,5/5/2024,1722,6160,4.281774503,84216,23.19615242,35.79232233,Pass
19,5/12/2024,647,20612,17.14448567,78959,22.78810336,43.45000604,Pass
20,5/19/2024,432,84596,3.186392383,136924,22.30747154,19.63845369,Pass
21,5/26/2024,4326,12797,10.50776236,60657,21.76154284,17.35739373,Pass
22,6/2/2024,1118,87340,27.5024028,256153,21.15859298,10.9212957,Pass
23,6/9/2024,1413,576,4.078291721,45951,20.50776207,44.63890625,Pass
24,6/16/2024,428,35820,5.260475186,909062,19.81891604,78.50077912,Pass
25,6/23/2024,866,14830,7.844328755,111934,19.10249711,47.32965481,Pass
26,6/30/2024,1463,9331,5.462543958,25408,18.36936544,53.16665308,Pass
27,7/7/2024,533,14914,2.914219239,20519,17.63063456,16.69941381,Pass
28,7/14/2024,1809,1230,7.699364438,97000,16.89750289,34.59062082,Pass
29,7/21/2024,828,10263,3.906406008,47884,16.18108396,41.42200536,Pass
30,7/28/2024,1060,20507,9.817391526,122271,15.49223793,1.033187702,Pass
31,8/4/2024,827,78705,4.256066851,96108,14.84140702,13.1925804,Pass
32,8/11/2024,5894,7172,18.72689345,55668,14.23845716,63.19298614,Pass
33,8/18/2024,1325,5063,4.618398614,25673,13.69252846,9.466816617,Pass
34,8/25/2024,574,7316,6.090700442,13162,13.21189664,57.8058229,Pass
35,9/1/2024,2586,40073,12.03850581,38310,12.80384758,9.42005608,Pass
36,9/8/2024,504,19821,3.530647953,140983,12.47456689,13.6354409,Pass
37,9/15/2024,1583,7074,8.469537992,74168,12.22904614,34.94696403,Pass
38,9/22/2024,279,24733,16.18824971,17227,12.07100717,27.82284818,Pass
39,9/29/2024,462,15010,2.816542473,71195,12.00284568,20.85643591,Pass
40,10/6/2024,1567,42717,8.254680024,88019,12.02559494,61.85589113,Pass
41,10/13/2024,2418,5753,8.635915056,24739,12.13891009,11.13036522,Pass
42,10/20/2024,1536,9016,11.81173729,69823,12.34107339,24.26402904,Pass
43,10/27/2024,1221,8345,3.517778117,63462,12.62902025,37.47375367,Pass
44,11/3/2024,1052,2307,3.3458676,19092,12.99838569,31.52346466,Pass
45,11/10/2024,410,19059,10.10636011,85629,13.4435705,17.7357787,Pass
46,11/17/2024,753,18274,8.830316025,104902,13.95782614,18.15378594,Pass
47,11/24/2024,926,13441,8.587397403,176848,14.53335701,43.08578075,Pass
48,12/1/2024,3120,10081,9.096310809,171751,15.16143866,44.21979104,Pass
49,12/8/2024,1763,2444,4.913493358,15098,15.83255,32.00620517,Pass
50,12/15/2024,326,8064,8.493933632,23439,16.53651768,15.29079717,Pass
51,12/22/2024,1735,8855,8.809612756,100211,17.26267026,18.52508875,Pass
52,12/29/2024,984,5101,4.813329985,100086,18,26.32679925,Pass
