Scenario_ID,Scenario_Name,Pathogen_ID,Pathogen,Location,Dilution_Median,Dilution_Min,Dilution_Max,Dilution_Records,Pathogen_Conc_Median,Exposure_Route,Treatment_LRV,Volume_mL,Frequency_Year,Population,Infection_Risk_Median,Annual_Risk_Median,Annual_Risk_5th,Annual_Risk_95th,Population_Impact,Compliance_Status,Priority
S001,Site_A_Norovirus_Summer,PATH001,norovirus,Site_A,115.0,95,130,7,1000000,primary_contact,3.0,50,25,15000,0.08678242928325675,0.8966390545973468,0.8324449919111826,0.9363625966574329,13449,NON-COMPLIANT,High
S002,Site_B_Norovirus_Summer,PATH001,norovirus,Site_B,90.0,75,110,7,1000000,primary_contact,3.0,50,25,8000,0.09466990292968075,0.9167902991391064,0.8617527993316118,0.949422518520488,7334,NON-COMPLIANT,High
S003,Site_C_Norovirus_Summer,PATH001,norovirus,Site_C,200.0,180,220,7,1000000,primary_contact,3.0,50,25,10000,0.06860363476945092,0.8308143714432998,0.7404561575153391,0.890299278131664,8308,NON-COMPLIANT,Medium
S004,Site_A_Norovirus_Winter,PATH002,norovirus,Site_A,115.0,95,130,7,1500000,primary_contact,3.0,30,8,2000,0.08516152646184605,0.5093685713447038,0.42220112810879684,0.5818105340388338,1018,NON-COMPLIANT,Medium
S005,Site_A_Campylobacter,PATH003,campylobacter,Site_A,115.0,95,130,7,500000,primary_contact,3.5,50,25,15000,0.0014273755118185405,0.03507980405606226,0.018806184924796576,0.060727423731340324,526,NON-COMPLIANT,Medium
S006,Site_A_Cryptosporidium,PATH004,cryptosporidium,Site_A,115.0,95,130,7,50000,primary_contact,2.5,50,25,15000,0.0003155322749782141,0.0078585108178153,0.00417608376329448,0.013797042517021185,117,NON-COMPLIANT,Low
S007,Site_A_Ecoli,PATH006,e_coli,Site_A,115.0,95,130,7,800000,primary_contact,3.5,50,25,15000,1.8068303242468886e-08,4.5170748452783016e-07,2.3560035422587333e-07,7.971220187252825e-07,0,COMPLIANT,Low
S008,Shellfish_Site_C,PATH001,norovirus,Site_C,200.0,180,220,7,1000000,shellfish_consumption,3.0,100,24,5000,0.09248889728482734,0.902625166483341,0.8505918217543975,0.9362359509845777,4513,NON-COMPLIANT,High
S009,Site_A_No_Treatment,PATH005,norovirus,Site_A,115.0,95,130,7,2000000,primary_contact,0.0,50,20,5000,0.3273883068664881,0.9996408397524489,0.9993516513159987,0.9997808863346042,4998,NON-COMPLIANT,High
S010,Site_A_UV_Treatment,PATH001,norovirus,Site_A,115.0,95,130,7,1000000,primary_contact,8.0,50,25,15000,3.469777153708442e-06,8.674081713277992e-05,4.9679424529158744e-05,0.00014711864269989494,1,COMPLIANT,High
S011,Site_A_MBR_Treatment,PATH001,norovirus,Site_A,115.0,95,130,7,1000000,primary_contact,9.3,50,25,15000,1.755283451920775e-07,4.388199386751168e-06,2.6652594729004164e-06,7.0817983194304546e-06,0,COMPLIANT,High
S012,Site_B_Poor_Dilution,PATH001,norovirus,Site_B,90.0,75,110,7,1000000,primary_contact,3.0,50,25,12000,0.0944241210618656,0.9162237046646451,0.8509650500432328,0.9512370936758702,10994,NON-COMPLIANT,High
S013,Site_C_Excellent_Dilution,PATH001,norovirus,Site_C,200.0,180,220,7,1000000,primary_contact,3.0,50,25,12000,0.06752808195951321,0.8258618040647178,0.7485323094302523,0.880424070259058,9910,NON-COMPLIANT,Low
S014,Peak_Weekend_Site_A,PATH002,norovirus,Site_A,115.0,95,130,7,1500000,primary_contact,3.0,75,40,20000,0.11479141209566196,0.9923822845802844,0.981889432720389,0.9966736209567207,19847,NON-COMPLIANT,High
S015,Multi_Pathogen_Site_A,PATH007,rotavirus,Site_A,115.0,95,130,7,300000,primary_contact,3.0,50,25,15000,0.0728536597384446,0.8490937563357739,0.6386950375862508,0.9548481951862922,12736,NON-COMPLIANT,Medium
